airport,lat,lon
P20,834.14983333,-114.26783333
PAN,434.25683583,-111.33925556
1G4,235.98611111,-113.81691667
L37,335.52723472,-113.24750278
DVT,533.68830556,-112.08255556
A39,332.99054861,-111.91890139
IWA,833.30782389,-111.65545917
PHX,233.43427778,-112.01158333
E37,132.84784333,-109.88174806
P10,135.79161111,-110.42338889
PRC,434.65476306,-112.41918917
ASSN,134.65085556,-111.78820639
SAD,532.85334111,-109.63508194
SJN,434.51855556,-109.37875000
44A,232.51630556,-114.69838889
E77,532.63644028,-110.64728767
SDL,533.62288083,-111.91053083
DR,133.62515278,-111.91829444
SEZ,734.84858917,-111.78844750
P23,335.33507500,-112.88649722
E78,631.93258333,-111.89425000
SOW,34.26547167,-110.00566250
JTC,634.12941667,-109.31086111
E81,233.27783389,-111.12706500
TYL,934.45273222,-110.11503472
U30,136.02044444,-114.33491667
P29,531.67131250,-110.02151528
T03,336.09263889,-111.38308333
AVQ,332.40955556,-111.21838889
TUS,32.11707028,-110.94146250
DMA,32.16636442,-110.88316969
RYN,32.14221111,-111.17457917
E24,533.81060833,-109.98574361
1Z1,36.25650000,-113.23088889
E25,433.97062933,-112.79508981
ROAD,632.22465278,-110.00781944
P33,832.24541667,-109.89463889
CMR,235.30549361,-112.19434778
RQE,335.65205556,-109.06738889
INW,235.02190972,-110.72251578
NYL,732.65657389,-114.60598722
LGF,832.86458056,-114.39297500
A26,241.18650000,-120.95438889
L70,534.50351483,-118.31315717
AAT,741.48286111,-120.56541667
A24,641.41225972,-120.68388611
RD,238.08458333,-120.53797222
2O3,938.58002778,-122.43547222
APV,234.57533139,-117.18618806
ACV,140.97782639,-124.10846917
RD,237.06555556,-119.48413889
AUN,438.95481972,-121.08172917
AVX,333.40499722,-118.41576944
0O2,35.28627778,-116.08136111
L45,135.32487472,-118.99602194
BFL,335.43386111,-119.05766667
RD,136.90658333,-119.12847222
BNG,633.92255556,-116.85097222
O02,939.81852778,-120.35280556
RD,239.96208333,-121.27747222
O55,941.13954028,-121.12405000
L35,934.26377778,-116.85602778
BIH,137.37311111,-118.36361111
BLH,833.61916667,-114.71688889
D83,339.01395281,-123.38155325
L08,633.25902778,-116.32097222
BWC,232.99293750,-115.51726333
O57,238.26465364,-119.22273111
BUR,34.20069444,-118.35866667
RD,240.89342500,-121.65140278
L62,435.35344444,-119.47972222
C83,37.82844444,-121.62583333
CXL,32.66744444,-115.51758333
L71,335.15125000,-118.01666667
CLR,733.13133333,-115.52138889
CMA,234.21375833,-119.09435417
O61,638.68400000,-120.98752778
CRQ,633.12825000,-117.28008333
O59,241.55361111,-120.16561111
49X,634.52888889,-114.43197222
O05,940.28236111,-121.24116667
CIC,639.79538889,-121.85841667
