airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
KFP,14,54.85042308,-163.40962872,32,54.84531103,-163.40457125
KFP,32,54.84531103,-163.40457125,14,54.85042308,-163.40962872
TNW,13,62.53462222,-153.61518611,31,62.52962222,-153.61039167
TNW,31,62.52962222,-153.61039167,13,62.53462222,-153.61518611
FLT,08,62.45321944,-157.99865278,26,62.45234167,-157.97484167
FLT,26,62.45234167,-157.97484167,08,62.45321944,-157.99865278
FYU,04,66.56902361,-145.26124778,22,66.57578942,-145.23141511
FYU,22,66.57578942,-145.23141511,04,66.56902361,-145.26124778
GBH,14,68.48594519,-149.49886919,32,68.47340642,-149.48095078
GBH,32,68.47340642,-149.48095078,14,68.48594519,-149.49886919
GAL,06,64.73656011,-156.94600494,24,64.73661247,-156.92937072
GAL,24,64.73661247,-156.92937072,06,64.73656011,-156.94600494
GAL,08,64.73594822,-156.95239033,26,64.73595767,-156.94983086
GAL,26,64.73595767,-156.94983086,08,64.73594822,-156.95239033
GAM,16,63.77270939,-171.73470339,34,63.76052333,-171.73086531
GAM,34,63.76052333,-171.73086531,16,63.77270939,-171.73470339
AQY,02,60.96681111,-149.12309722,20,60.97123333,-149.11559444
AQY,20,60.97123333,-149.11559444,02,60.96681111,-149.12309722
GLV,03,64.54603333,-163.01463611,21,64.55488333,-162.99970556
GLV,21,64.55488333,-162.99970556,03,64.54603333,-163.01463611
GNU,06,59.11638433,-161.58196442,24,59.11933511,-161.56536956
GNU,24,59.11933511,-161.56536956,06,59.11638433,-161.58196442
Z40,08,61.39489444,-149.85081111,26,61.39440556,-149.83372778
Z40,26,61.39440556,-149.83372778,08,61.39489444,-149.85081111
GSZ,17,65.40742500,-161.28132778,35,65.39683889,-161.28161944
GSZ,35,65.39683889,-161.28161944,17,65.40742500,-161.28132778
KGX,17,62.89754892,-160.06586131,35,62.88662169,-160.06693247
KGX,35,62.88662169,-160.06693247,17,62.89754892,-160.06586131
GKN,15L,62.16170750,-145.45661325,33R,62.14819606,-145.45205889
GKN,33R,62.14819606,-145.45205889,15L,62.16170750,-145.45661325
GKN,15R,62.15610000,-145.45841944,33L,62.14988611,-145.45632222
GKN,33L,62.14988611,-145.45632222,15R,62.15610000,-145.45841944
GST,02,58.42006381,-135.71819267,20,58.42627936,-135.70789011
GST,20,58.42627936,-135.70789011,02,58.42006381,-135.71819267
GST,11,58.43271458,-135.71727919,29,58.41970556,-135.69250222
GST,29,58.41970556,-135.69250222,11,58.43271458,-135.71727919
HNS,08,59.24571608,-135.53356503,26,59.24194536,-135.51350964
HNS,26,59.24194536,-135.51350964,08,59.24571608,-135.53356503
HRR,15,63.87151814,-148.97006711,33,63.86363719,-148.96760922
HRR,33,63.86363719,-148.96760922,15,63.87151814,-148.97006711
HCA,02,62.18361222,-159.78099389,20,62.19297944,-159.76890611
HCA,20,62.19297944,-159.76890611,02,62.18361222,-159.78099389
HOM,04,59.64029242,-151.49143042,22,59.65080306,-151.46175419
HOM,22,59.65080306,-151.46175419,04,59.64029242,-151.49143042
HNH,06,58.09522472,-135.41726806,24,58.09717389,-135.40024444
HNH,24,58.09717389,-135.40024444,06,58.09522472,-135.41726806
HPB,14,61.52772422,-166.15154158,32,61.52001672,-166.14170497
HPB,32,61.52001672,-166.14170497,14,61.52772422,-166.15154158
5HO,17,60.91002222,-149.62212222,35,60.90448333,-149.62350000
5HO,35,60.90448333,-149.62350000,17,60.91002222,-149.62212222
HUS,18,66.04357661,-154.26196775,36,66.03460467,-154.26741842
HUS,36,66.03460467,-154.26741842,18,66.04357661,-154.26196775
HLA,03,65.69442417,-156.36172544,21,65.70128378,-156.34105981
HLA,21,65.70128378,-156.34105981,03,65.69442417,-156.36172544
IGG,05,59.32277222,-155.90940861,23,59.32531111,-155.89413667
IGG,23,59.32531111,-155.89413667,05,59.32277222,-155.90940861
ILI,08,59.75188550,-154.92405658,26,59.75130408,-154.89650950
ILI,26,59.75130408,-154.89650950,08,59.75188550,-154.92405658
ILI,18,59.76262014,-154.90961600,36,59.74965219,-154.91371636
ILI,36,59.74965219,-154.91371636,18,59.76262014,-154.90961600
ILI,E,59.76027778,-154.93694444,W,59.75916667,-154.92083333
ILI,W,59.75916667,-154.92083333,E,59.76027778,-154.93694444
ILI,N,59.75361111,-154.93194444,S,59.76111111,-154.92694444
